model,no_clahe_auc,no_clahe_f1,no_clahe_recall_pneumonia,no_clahe_precision,no_clahe_specificity,clahe_auc,clahe_f1,clahe_recall_pneumonia,clahe_precision,clahe_specificity,delta_auc,delta_f1,delta_recall
I-JEPA Linear Probe,0.7737342077621767,0.5324232081911263,0.6917960088691796,0.43273231622746183,0.7362141244736014,0.7048182368751658,0.3498978897208986,0.28492239467849223,0.4532627865961199,0.9000322476591421,-0.0689,-0.1825,-0.4069
I-JEPA Partial FT v1,0.8003201170354174,0.5549564496059727,0.7416851441241685,0.4433399602385686,0.7291196388238339,0.7441577032228357,0.492442710872745,0.5598669623059866,0.4395126196692776,0.7923250564308535,-0.0562,-0.0625,-0.1818
I-JEPA Partial FT v2,0.8010864459000779,0.5525054466230936,0.7028824833702882,0.45513280689160085,0.755240245079796,0.7418706933104334,0.4868804664723032,0.5554323725055432,0.4333910034602076,0.7887778136059698,-0.0592,-0.0656,-0.1475
I-JEPA Full FT v1,0.8296628081492916,0.5751957148743304,0.7738359201773836,0.4577049180327869,0.7333118348896056,0.7780561810044826,0.5218356772760918,0.7815964523281597,0.39166666666666666,0.6468881006106195,-0.0516,-0.0534,0.0078
I-JEPA Full FT v2,0.8041312043679494,0.5551753635585971,0.7195121951219512,0.451949860724234,0.7462108997073648,0.7516570722125971,0.4865657059110894,0.5521064301552107,0.4349344978165939,0.7913576265695216,-0.0525,-0.0686,-0.1674
ResNet50 ImageNet,0.8861909576411585,0.6249201277955272,0.5421286031042128,0.7375565610859729,0.9438890680395231,0.8640348117444412,0.47013782542113325,0.34035476718403546,0.7599009900990099,0.9687197678137094,-0.0222,-0.1548,-0.2018
ViT-Small ImageNet,0.8797448216046466,0.4169435215946844,0.27827050997782704,0.8311258278145696,0.9835536923541324,0.8645791251087733,0.14934409687184663,0.082039911308204,0.8314606741573034,0.9951628506901156,-0.0152,-0.2676,-0.1962
